City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Port Macquarie,AU,2022-08-08 01:12:04,-31.4333,152.9167,62.89,62,10,14.2,clear sky
160,Mannargudi,IN,2022-08-08 01:15:06,10.6667,79.4333,79.02,70,100,6.46,heavy intensity rain
161,Maloy,NO,2022-08-08 01:15:06,61.9353,5.1136,53.33,60,100,15.28,overcast clouds
162,Hobart,AU,2022-08-08 01:13:00,-42.8794,147.3294,49.26,83,20,10.36,few clouds
163,Datong,CN,2022-08-08 01:15:07,40.0936,113.2914,76.95,51,99,9.17,overcast clouds
164,Ulladulla,AU,2022-08-08 01:15:08,-35.35,150.4667,56.12,64,33,9.95,scattered clouds
165,Svetlogorsk,BY,2022-08-08 01:15:08,52.6333,29.7333,53.58,96,2,6.24,clear sky
166,Komyshuvakha,UA,2022-08-08 01:15:08,47.7176,35.5288,69.85,47,4,7.58,clear sky
167,Hami,CN,2022-08-08 01:15:09,42.8,93.45,89.29,17,0,14.7,clear sky
168,Salinas,US,2022-08-08 01:15:09,36.6777,-121.6555,81.41,62,0,13.8,clear sky
169,Tutoia,BR,2022-08-08 01:11:15,-2.7619,-42.2744,78.04,87,13,11.61,few clouds
170,Biak,ID,2022-08-08 01:15:10,-0.9131,122.8766,80.06,74,64,5.66,broken clouds
171,Balaipungut,ID,2022-08-08 01:15:10,1.05,101.2833,77.04,94,87,2.46,overcast clouds
172,Isilkul,RU,2022-08-08 01:15:11,54.9109,71.2728,59.79,79,75,8.55,broken clouds
173,Vaitape,PF,2022-08-08 01:15:12,-16.5167,-151.75,76.53,71,65,25.95,broken clouds
174,Carnarvon,AU,2022-08-08 01:15:15,-24.8667,113.6333,65.25,70,0,11.59,clear sky
175,Hambantota,LK,2022-08-08 01:15:16,6.1241,81.1185,77.76,82,63,17.67,broken clouds
176,Hushitai,CN,2022-08-08 01:15:16,41.9322,123.5114,76.91,74,96,11.32,overcast clouds
177,Namibe,AO,2022-08-08 01:15:17,-15.1961,12.1522,60.08,92,23,2.86,few clouds
178,Adrar,MR,2022-08-08 01:15:18,20.5022,-10.0711,97.23,26,65,12.15,broken clouds
179,Wilmington,US,2022-08-08 01:15:11,34.2257,-77.9447,81.86,72,0,4.61,clear sky
180,Colon,PA,2022-08-08 01:15:18,9.3592,-79.9014,81.45,86,100,5.01,overcast clouds
181,Victoria,HK,2022-08-08 01:12:31,22.2855,114.1577,83.97,94,44,1.01,moderate rain
182,Hemsedal,NO,2022-08-08 01:15:19,60.8629,8.5534,47.16,89,71,3.89,broken clouds
183,Torbay,CA,2022-08-08 01:15:19,47.6666,-52.7314,70.57,88,75,16.11,broken clouds
