City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Biak,ID,80.06,broken clouds,-0.9131,122.8766,Penginapan Kim
173,Vaitape,PF,76.53,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
175,Hambantota,LK,77.76,broken clouds,6.1241,81.1185,Bungalow 63
176,Hushitai,CN,76.91,overcast clouds,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
179,Wilmington,US,81.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
180,Colon,PA,81.45,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
181,Victoria,HK,83.97,moderate rain,22.2855,114.1577,Mini Central
183,Torbay,CA,70.57,broken clouds,47.6666,-52.7314,Gallows Cove
189,Half Moon Bay,US,78.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
193,Zhangye,CN,76.42,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
194,Zhanaozen,KZ,76.26,overcast clouds,43.3,52.8,K.korabay 28A
198,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
201,Guerrero Negro,MX,79.32,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
202,Catio,GW,76.64,light rain,11.2833,-15.25,Pausada Morabedja
203,Sao Felix Do Xingu,BR,78.66,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
208,Kirakira,SB,83.1,broken clouds,-10.4544,161.9205,SanBiz Lodge
209,Hamilton,US,81.95,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
211,Nishihara,JP,89.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
215,Korla,CN,86.27,clear sky,41.7597,86.1469,Gulisitan Hotel
216,Carsamba,TR,73.78,few clouds,41.1989,36.7219,Carsamba Ogretmenevi
222,Sao Jose Da Coroa Grande,BR,76.1,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
223,Trudovoye,RU,80.33,few clouds,43.3058,132.0817,"Gostinitsa ""Villa Arte"""
228,Alice Town,BS,83.55,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
229,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
232,Banda Aceh,ID,80.62,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
237,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
239,Artyom,AZ,75.34,overcast clouds,40.4723,50.333,Pir hos
240,Payo,ID,77.43,broken clouds,-3.7508,103.6372,Mess keban agung
241,Foca,TR,78.64,clear sky,38.6703,26.7566,Huri&Nuri Hotel
248,Kendari,ID,80.26,overcast clouds,-3.945,122.4989,Hotel Wixel
249,Eyl,SO,75.47,overcast clouds,7.9803,49.8164,Amiin Hotel
251,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
255,Wanning,CN,82.18,overcast clouds,18.8003,110.3967,Paradise Hotel
257,Ranong,TH,82.33,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
258,Sai Buri,TH,80.31,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
259,Changqing,CN,88.03,overcast clouds,36.5575,116.7272,Hanting Hotel Jinan Changqing West Jingshi Road
260,Bosaso,SO,89.71,clear sky,11.2842,49.1816,Red Sea Hotel
261,Bubaque,GW,78.37,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
262,Iralaya,HN,80.02,overcast clouds,15.0,-83.2333,Iglesia morava renovada
266,Pedraza,CO,77.36,overcast clouds,10.1874,-74.915,Rincón Guajiro
268,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
271,Sarankhola,BD,81.25,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
273,Kavaratti,IN,80.24,overcast clouds,10.5669,72.642,Green leaf
275,Vanimo,PG,82.83,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
281,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
282,Dingle,PH,80.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
289,Lamu,KE,71.82,broken clouds,-2.2717,40.902,Lamu House
291,La Asuncion,VE,82.13,broken clouds,11.0333,-63.8628,Colinas de Matasiete
